"DOTA_Tooltip_ability_Primary_fire_blast"	"Primary Fire Blast"
"DOTA_Tooltip_ability_Middle_Blood_grudge_Dagger_basic_damage"	"Damage per second: stack * "
"DOTA_Tooltip_ability_Middle_Blood_grudge_Dagger_duration"	"Duration:"
"DOTA_Tooltip_ability_Middle_Blood_grudge_Dagger_bonus_damage"	"Bonus damage per second: stack * Main Attributes * "
"DOTA_Tooltip_ability_Advanced_Blood_grudge_Dagger"	"Advanced grudge dagger"
"DOTA_Tooltip_ability_Advanced_Blood_grudge_Dagger_Description"	"Your attacks will cause your enemies to bleed, and each attack will increase the wounds of the enemy until they bleed to death.<br><br> [ Blood Bath] Accumulate all bleeding damage dealt to the target and deal 40%% of the cumulative bleeding damage to units in 300 radius after the status is cleared.<br><br> [Blood Venom] When bleeding, there will be a 15%% chance to apply a stack of bleeding effect to a random unit within 300 radius of the target."
"DOTA_Tooltip_ability_Advanced_Blood_grudge_Dagger_Lore"	"Even the Strain cannot escape death, but the grievances of the dead have attached the magic of the plague to all the blood that has been tasted."
"DOTA_Tooltip_ability_Advanced_Blood_grudge_Dagger_basic_damage"	"Damage per second: stack * "
"DOTA_Tooltip_ability_Advanced_Blood_grudge_Dagger_duration"	"Duration:"

"DOTA_Tooltip_ability_Advanced_Blood_grudge_Dagger_bonus_damage"	"Bonus damage per second: stack * Main Attributes * "



"DOTA_Tooltip_ability_player_spell_info_none"	"No spell"
"DOTA_Tooltip_ability_player_spell_info_none_Description"	""
"DOTA_Tooltip_ability_item_hd_none"	"no item"

"DOTA_Tooltip_ability_Primary_clock_and_dagger"	"Primary Clock And Dagger"
"DOTA_Tooltip_ability_Primary_clock_and_dagger_Description"	"Every time attack enemies from behind, dealing damage based on agility. "
"DOTA_Tooltip_ability_Primary_clock_and_dagger_Lore"	"No one can spot the assassin in the grass."
"DOTA_Tooltip_ability_Primary_clock_and_dagger_Note0"	"Доп. инфа:<br><font color=\"#d9534f\">only effective on melee units.</font>"
"DOTA_Tooltip_ability_Primary_clock_and_dagger_basic_damage"	"Damage per second: stack * "
"DOTA_Tooltip_ability_Primary_clock_and_dagger_duration"	"Duration:"
"DOTA_Tooltip_ability_Primary_clock_and_dagger_delay"	"Cooldown:"
"DOTA_Tooltip_ability_Primary_clock_and_dagger_backstab_damage_per_agility"	"AGI index:"
"DOTA_Tooltip_ability_Primary_clock_and_dagger_back_angle"	"Back angle:"
"DOTA_Tooltip_ability_Middle_clock_and_dagger"	"Middle Clock And Dagger"
"DOTA_Tooltip_ability_Middle_clock_and_dagger_Description"	"Gain low priority of being attacked. Every time attack enemies from behind, dealing damage based on agility and losing low priority of being attacked. <br><br>[Combo] Add a layer of combo effect each time attacking from behind is triggered. Each layer has an additional 5%% agility damage, stacking up to 30 layers and losing stacks if attacking from behind is not triggered."
"DOTA_Tooltip_ability_Middle_clock_and_dagger_Lore"	"After stabbing, I hide in the grass and come out to assassinate the next target when the hatred is gone."
"DOTA_Tooltip_ability_Middle_clock_and_dagger_Note0"	"Доп. инфа:<br><font color=\"#d9534f\">only effective on melee units.</font>"
"DOTA_Tooltip_ability_Middle_clock_and_dagger_delay"	"Cooldown:"
"DOTA_Tooltip_ability_Middle_clock_and_dagger_back_angle"	"Back angle:"
"DOTA_Tooltip_ability_Middle_clock_and_dagger_backstab_damage_per_agility"	"AGI index:"
"DOTA_Tooltip_ability_Advanced_clock_and_dagger"	"Advanced Clock And Dagger"
"DOTA_Tooltip_ability_Advanced_clock_and_dagger_Description"	"Gain low priority of being attacked. Every time attack enemies from behind, dealing damage based on agility and losing low priority of being attacked. <br><br>[Combo] Add a layer of combo effect each time attacking from behind is triggered. Each layer has an additional 5%% agility damage, stacking up to 30 layers and losing stacks if attacking from behind is not triggered.<br><br>[Connor Kenway] turn on auto-casting. In this status, spell has 30%% effect even in front of the enemy, but low priority of being attacked will be lost, which can be restored after turning status off for 10 seconds."
"DOTA_Tooltip_ability_Advanced_clock_and_dagger_Lore"	"That man is here"
"DOTA_Tooltip_ability_Advanced_clock_and_dagger_Note0"	"Доп. инфа:<br><font color=\"#d9534f\">only effective on melee units.</font>"
"DOTA_Tooltip_ability_Advanced_clock_and_dagger_delay"	"Cooldown:"
"DOTA_Tooltip_ability_Advanced_clock_and_dagger_back_angle"	"Back angle:"
"DOTA_Tooltip_ability_Advanced_clock_and_dagger_backstab_damage_per_agility"	"AGI index:"



"DOTA_Tooltip_ability_Primary_necromastery"	"Primary Necromastery"
"DOTA_Tooltip_ability_Primary_necromastery_Description"	"Steals the soul from units he kills, gaining bonus attack damage. On death, he releases 40%% of them from bondage."
"DOTA_Tooltip_ability_Primary_necromastery_Lore"	"As a forbidden art, necromancy also has a taboo opposed by necromancers, that is, collecting the souls of the dead. Normally, the souls of the deceased go to the underworld, and resurrecting creatures through necromancy is to summon the souls of the underworld with deals. This is not the case with necromancy, which does not require the consent of the deceased to control his soul. "
"DOTA_Tooltip_ability_Primary_necromastery_delay"	"Cooldown:"
"DOTA_Tooltip_ability_Primary_necromastery_back_angle"	"Back angle:"
"DOTA_Tooltip_ability_Primary_necromastery_backstab_damage_per_agility"	"AGI index:"
"DOTA_Tooltip_ability_Primary_necromastery_max_soul"	"Max Soul:"
"DOTA_Tooltip_ability_Primary_necromastery_bonus_attack_damage"	"Bonus Attack Damage per Soul:"
"DOTA_Tooltip_ability_Middle_necromastery"	"Middle Necromastery"
"DOTA_Tooltip_ability_Middle_necromastery_Description"	"Steals the soul from units he kills, gaining bonus attack damage. On death, he releases 40%% of them from bondage.<br><br>[Soul Dilemma] Each soul increases physical damage by 0.3%%. (Stacks linearly with all damage boosts) "
"DOTA_Tooltip_ability_Middle_necromastery_Lore"	"As a forbidden art, necromancy also has a taboo opposed by necromancers, that is, collecting the souls of the dead. Normally, the souls of the deceased go to the underworld, and resurrecting creatures through necromancy is to summon the souls of the underworld with deals. This is not the case with necromancy, which does not require the consent of the deceased to control his soul. "
"DOTA_Tooltip_ability_Middle_necromastery_max_soul"	"Max Soul:"
"DOTA_Tooltip_ability_Middle_necromastery_bonus_attack_damage"	"Bonus Attack Damage per Soul:"
"DOTA_Tooltip_ability_Advanced_necromastery"	"Advanced Necromastery"
"DOTA_Tooltip_ability_Advanced_necromastery_Description"	"Steals the soul from units he kills, gaining bonus attack damage. On death, he releases 40%% of them from bondage.<br><br>[Soul Dilemma] Each soul increases physical damage by 0.3%%. (Stacks linearly with all damage boosts) <br><br>[Valid Conversion] 50%% of the increased attack damage is converted into base attack damage."
"DOTA_Tooltip_ability_Advanced_necromastery_Lore"	"As a forbidden art, necromancy also has a taboo opposed by necromancers, that is, collecting the souls of the dead. Normally, the souls of the deceased go to the underworld, and resurrecting creatures through necromancy is to summon the souls of the underworld with deals. This is not the case with necromancy, which does not require the consent of the deceased to control his soul. "
"DOTA_Tooltip_ability_Advanced_necromastery_max_soul"	"Max Soul:"
"DOTA_Tooltip_ability_Advanced_necromastery_bonus_attack_damage"	"Bonus Attack Damage per Soul:"


"DOTA_Tooltip_ability_Primary_empower"	"Primary Empower"
"DOTA_Tooltip_ability_Middle_empower"	"Middle Empower"
"DOTA_Tooltip_ability_Advanced_empower"	"Advanced Empower"
"DOTA_Tooltip_ability_Advanced_empower_Description"	"Gives an allied unit bonus power and cleave on attack.<br><font color=\"#777777\">This spell book can be dropped by defeating the corresponding boss who has this spell</font><br><br>[Echo] increases the next attack by 15 points for each cleave (stack up to 15 layers)<br><br>[Reverberation] for every one with power granting status added by you, increase power grating effect by 8%%. (Maximum stack of five layers, only affects bonus attack damage and cleave effect)"
"DOTA_Tooltip_ability_Middle_empower_Description"	"Gives an allied unit bonus power and cleave on attack.<br><br>[Echo] increases the next attack by 15 points for each cleave (stack up to 15 layers)"
"DOTA_Tooltip_ability_Primary_empower_Description"	"Gives an allied unit bonus power and cleave on attack."
"DOTA_Tooltip_ability_Primary_empower_Note0"	"Доп. инфа:<br><font color=\"#d9534f\">Ranged units do not have cleave effect</font>"
"DOTA_Tooltip_ability_Middle_empower_Note0"	"Доп. инфа:<br><font color=\"#d9534f\">Ranged units do not have cleave effect</font>"
"DOTA_Tooltip_ability_Advanced_empower_Note0"	"Доп. инфа:<br><font color=\"#d9534f\">Ranged units do not have cleave effect</font>"
"DOTA_Tooltip_ability_Advanced_empower_duration"	"Duration:"
"DOTA_Tooltip_ability_Middle_empower_duration"	"Duration:"
"DOTA_Tooltip_ability_Primary_empower_duration"	"Duration:"
"DOTA_Tooltip_ability_Primary_empower_bonus_damage_pct"	"%Bonus Attack Damage:"
"DOTA_Tooltip_ability_Middle_empower_bonus_damage_pct"	"%Bonus Attack Damage:"
"DOTA_Tooltip_ability_Advanced_empower_bonus_damage_pct"	"%Bonus Attack Damage:"
"DOTA_Tooltip_ability_Advanced_empower_cleave_damage_pct"	"%Cleave damage:"
"DOTA_Tooltip_ability_Primary_empower_cleave_damage_pct"	"%Cleave damage:"
"DOTA_Tooltip_ability_Middle_empower_cleave_damage_pct"	"%Cleave damage:"
"DOTA_Tooltip_ability_Middle_empower_Lore"	"The powerful polar force reverberates in the enemy's body, hastening their death"
"DOTA_Tooltip_ability_Primary_empower_Lore"	"Mighty warriors grant furious power to their allies"
"DOTA_Tooltip_ability_Advanced_empower_Lore"	"More allied troops means stronger power. The so-called 1+1>2 is nothing more than this. "


"DOTA_Tooltip_ability_Primary_hyakkiyakou"	"Primary Hyakkiyakou"
"DOTA_Tooltip_ability_Primary_hyakkiyakou_Description"	"Summons Hyakkiyakou, calling for a ghost every second to attack an enemy in the area."
"DOTA_Tooltip_ability_Primary_hyakkiyakou_Lore"	"When the night falls, streets are empty. There will be many strange monsters, like the parades of temple fairs, with ferocious faces, walking on the streets, known as 'Hyakkiyakou' or 'Hundred Ghosts at Night'."
"DOTA_Tooltip_ability_Primary_hyakkiyakou_duration"	"Duration:"
"DOTA_Tooltip_ability_Primary_hyakkiyakou_damage"	"Basic Damage:"
"DOTA_Tooltip_ability_Primary_hyakkiyakou_bonus_damage"	"Множитель интеллекта:"
"DOTA_Tooltip_ability_Primary_hyakkiyakou_radius"	"Range: "
"DOTA_Tooltip_ability_Middle_hyakkiyakou"	"Middle Hyakkiyakou"
"DOTA_Tooltip_ability_Middle_hyakkiyakou_Description"	"Summons Hyakkiyakou, calling for a ghost every second to attack an enemy in the area.<br><br>[Duo] Attack two enemies Simultaneously in each attack. "
"DOTA_Tooltip_ability_Middle_hyakkiyakou_Lore"	"Symphony of the soul plays here."
"DOTA_Tooltip_ability_Middle_hyakkiyakou_duration"	"Duration:"
"DOTA_Tooltip_ability_Middle_hyakkiyakou_damage"	"Basic Damage:"
"DOTA_Tooltip_ability_Middle_hyakkiyakou_bonus_damage"	"Множитель интеллекта:"
"DOTA_Tooltip_ability_Middle_hyakkiyakou_radius"	"Range: "
"DOTA_Tooltip_ability_Advanced_hyakkiyakou"	"Advanced Hyakkiyakou"
"DOTA_Tooltip_ability_Advanced_hyakkiyakou_Description"	"Summons Hyakkiyakou, calling for a ghost every second to attack an enemy in the area.<br><br>[Duo] Attack two enemies Simultaneously in each attack. <br><br>[Requiem]  When Hyakkiyakou kills an enemy, hypnotize up to 8 existing units for 1 second in AOE, who will wake up if receive any damage while in sleep."
"DOTA_Tooltip_ability_Advanced_hyakkiyakou_Lore"	"Enemies who have died from Hyakkiyakou will be able to sleep peacefully."
"DOTA_Tooltip_ability_Advanced_hyakkiyakou_duration"	"Duration:"
"DOTA_Tooltip_ability_Advanced_hyakkiyakou_damage"	"Basic Damage:"
"DOTA_Tooltip_ability_Advanced_hyakkiyakou_bonus_damage"	"Множитель интеллекта:"
"DOTA_Tooltip_ability_Advanced_hyakkiyakou_radius"	"Range: "


"DOTA_Tooltip_ability_Primary_fear_arua"	"Primary Fear Aura"
"DOTA_Tooltip_ability_Primary_fear_arua_Lore"	"Imagine being wrapped in insects, that is the kind of horror similar to 'black coffin'."
"DOTA_Tooltip_ability_Primary_fear_arua_Description"	"Wraps the enemy in fear, reducing the damage resistance and damage output of surrounding enemies."
"DOTA_Tooltip_ability_Primary_fear_arua_bonus_damage"	"%Attack Damage Reduction:"
"DOTA_Tooltip_ability_Primary_fear_arua_bonus_damage_resistance"	"%Incoming Damage:"
"DOTA_Tooltip_ability_Primary_fear_arua_radius"	"Effect Радиус:"
"DOTA_Tooltip_ability_Middle_fear_arua"	"Middle Fear Aura"
"DOTA_Tooltip_ability_Middle_fear_arua_Description"	"Wraps the enemy in fear, reducing the damage resistance and damage output of surrounding enemies.<br><br>[Panic] Enemies in AOE have a 5%% chance to get into 3 seconds fear status per second, and additional 25% damage in this status. "
"DOTA_Tooltip_ability_Middle_fear_arua_Lore"	"Under constant fear one will one day go crazy.。"
"DOTA_Tooltip_ability_Middle_fear_arua_bonus_damage"	"%Attack Damage Reduction:"
"DOTA_Tooltip_ability_Middle_fear_arua_bonus_damage_resistance"	"%Incoming Damage:"
"DOTA_Tooltip_ability_Middle_fear_arua_radius"	"Effect Радиус:"
"DOTA_Tooltip_ability_Advanced_fear_arua"	"Advanced Fear Aura"
"DOTA_Tooltip_ability_Advanced_fear_arua_Description"	"Wraps the enemy in fear, reducing the damage resistance and damage output of surrounding enemies.<br><br>[Panic] Enemies in AOE have a 5%% chance to get into 3 seconds fear status per second, and additional 25% damage in this status. <br><br><br> [Festering Domain] The original status will continue to increase, increasing the reduction effect by 1%% per second, but up to 50%%."
"DOTA_Tooltip_ability_Advanced_fear_arua_Lore"	"Under the endless gnawing and recovery, the seemingly intact body has long since festered. "
"DOTA_Tooltip_ability_Advanced_fear_arua_bonus_damage"	"%Attack Damage Reduction:"
"DOTA_Tooltip_ability_Advanced_fear_arua_bonus_damage_resistance"	"%Incoming Damage:"
"DOTA_Tooltip_ability_Advanced_fear_arua_radius"	"Effect Радиус:"



"DOTA_Tooltip_ability_Primary_water_prison"	"Primary Water Prison"
"DOTA_Tooltip_ability_Primary_water_prison_Description"	"Control the water flow to imprison the target, making the enemy target invincible but unable to act for the duration, and allied unit increase their defense and magic resistance but be unable to act for the duration. Deals damage to surrounding units after the water prison is over."
"DOTA_Tooltip_ability_Primary_water_prison_Lore"	"Water can be the source of life and death simultaneously."
"DOTA_Tooltip_ability_Primary_water_prison_Note0"	"Доп. инфа:<br>0.3 seconds fade-in duration. "
"DOTA_Tooltip_ability_Primary_water_prison_duration"	"Duration:"
"DOTA_Tooltip_ability_Primary_water_prison_bonus_damage_pct"	"%Bonus Attack Damage:"
"DOTA_Tooltip_ability_Primary_water_prison_cleave_damage_pct"	"%Cleave damage:"
"DOTA_Tooltip_ability_Primary_water_prison_bonus_armor"	"Allies Bonus Armor:"
"DOTA_Tooltip_ability_Primary_water_prison_bonus_magic_res"	"%Allies Bonus Magic Resistance:"
"DOTA_Tooltip_ability_Primary_water_prison_damage"	"Basic Damage:"
"DOTA_Tooltip_ability_Primary_water_prison_bonus_damage"	"Множитель интеллекта:"
"DOTA_Tooltip_ability_Primary_water_prison_radius"	"Effect Радиус:"
"DOTA_Tooltip_ability_Middle_water_prison"	"Middle Water Prison"
"DOTA_Tooltip_ability_Middle_water_prison_Description"	"Control the water flow to imprison the target, making the enemy target invincible but unable to act for the duration, and allied unit increase their defense and magic resistance but be unable to act for the duration. Deals damage to surrounding units after the water prison is over.<br><br>[Large Water Prison] Increase AOE by 100, decrease movement slowdown speed by 200 and attack speed by 20%% respectively of enemies within 450 radius of the target."
